crop,region,year,month,market_price,rainfall,variety,area_sown,yield,irrigated,fertilizer,msp,market_demand,export_demand,input_cost,transport_cost,govt_scheme,cold_storage,mandi_open,price
Wheat,North,2022,11,2000,150,A1,500,2500,80,300,Yes,High,Medium,1000,200,Yes,Yes,Yes,2300
Rice,South,2022,10,1800,200,B1,400,2200,70,250,Yes,Medium,Low,800,150,Yes,Yes,Yes,2100
Maize,East,2022,9,2200,120,C1,600,2000,60,150,No,High,High,1200,250,Yes,No,Yes,2400
Barley,West,2022,12,2500,130,D1,450,1800,90,280,Yes,Low,Medium,950,180,No,Yes,Yes,2700
Cotton,Central,2022,8,3000,250,E1,350,1600,50,200,No,High,Medium,1300,300,Yes,Yes,No,2900
Sugarcane,North,2022,7,2800,300,F1,550,2700,80,350,Yes,Low,High,1100,150,Yes,No,Yes,3100
Soybean,East,2022,10,2400,180,G1,650,2100,60,220,No,Medium,Low,950,200,No,Yes,Yes,2600
Rice,South,2023,1,2000,210,B2,450,2300,70,270,Yes,High,Medium,800,160,Yes,Yes,Yes,2300
Wheat,North,2023,4,2100,160,A2,520,2400,80,310,Yes,Medium,Low,1050,190,Yes,Yes,Yes,2200
Maize,East,2023,5,2300,140,C2,620,1900,70,180,No,High,Medium,1150,230,Yes,No,Yes,2500
Barley,West,2023,6,2500,130,D2,460,1700,90,290,Yes,Low,Low,950,170,No,Yes,Yes,2600
Cotton,Central,2023,2,3100,320,E2,360,1600,50,210,No,High,Low,1200,260,Yes,Yes,No,3000
Sugarcane,North,2023,3,2700,280,F2,570,2600,80,330,Yes,Low,High,1100,160,Yes,No,Yes,2800
Soybean,East,2023,7,2400,190,G2,670,2200,60,230,No,Medium,Low,970,200,No,Yes,Yes,2700
Rice,South,2023,8,1900,220,B3,460,2400,70,260,Yes,High,Medium,820,170,Yes,Yes,Yes,2200
Wheat,North,2023,9,2100,170,A3,530,2500,80,320,Yes,Medium,Low,1050,180,Yes,Yes,Yes,2400
Maize,East,2023,10,2300,150,C3,630,2000,70,200,No,High,High,1200,240,Yes,No,Yes,2600
Barley,West,2023,11,2500,120,D3,470,1800,90,300,Yes,Low,Medium,960,190,No,Yes,Yes,2700
Cotton,Central,2023,12,3000,310,E3,370,1700,50,220,No,High,Low,1250,270,Yes,Yes,No,2900
Sugarcane,North,2023,5,2700,290,F3,580,2500,80,340,Yes,Low,High,1100,180,Yes,No,Yes,2750
Soybean,East,2023,6,2400,180,G3,680,2100,60,240,No,Medium,Low,980,210,No,Yes,Yes,2650
Rice,South,2023,3,2000,230,B4,470,2500,70,280,Yes,High,Medium,830,160,Yes,Yes,Yes,2250
Wheat,North,2023,7,2100,160,A4,540,2450,80,310,Yes,Medium,Low,1070,190,Yes,Yes,Yes,2350
Maize,East,2023,8,2200,130,C4,640,2100,70,190,No,High,High,1220,230,Yes,No,Yes,2500
Barley,West,2023,9,2400,140,D4,480,1750,90,270,Yes,Low,Low,970,180,No,Yes,Yes,2600
Cotton,Central,2023,10,3100,300,E4,380,1650,50,230,No,High,Medium,1300,250,Yes,Yes,No,2950
Sugarcane,North,2023,6,2650,270,F4,590,2550,80,335,Yes,Low,High,1100,160,Yes,No,Yes,2700
Soybean,East,2023,11,2350,170,G4,690,2050,60,250,No,Medium,Low,990,210,No,Yes,Yes,2550
Rice,South,2023,12,1950,240,B5,480,2400,70,270,Yes,High,Medium,840,180,Yes,Yes,Yes,2300
Wheat,North,2023,2,2000,140,A5,550,2300,80,300,Yes,Medium,Low,1000,180,Yes,Yes,Yes,2200
Maize,East,2023,12,2250,130,C5,650,2000,70,210,No,High,High,1200,220,Yes,No,Yes,2500
Barley,West,2023,5,2450,160,D5,490,1900,90,280,Yes,Low,Medium,960,200,No,Yes,Yes,2650
Cotton,Central,2023,4,2950,280,E5,390,1750,50,240,No,High,Low,1250,260,Yes,Yes,No,2900
Sugarcane,North,2023,8,2750,290,F5,600,2700,80,350,Yes,Low,High,1150,170,Yes,No,Yes,2800
Soybean,East,2023,9,2300,160,G5,700,2100,60,230,No,Medium,Low,1000,220,No,Yes,Yes,2600
Rice,South,2023,7,2100,200,B6,490,2500,70,250,Yes,High,Medium,850,170,Yes,Yes,Yes,2250
Wheat,North,2023,10,2050,160,A6,560,2350,80,310,Yes,Medium,Low,1050,190,Yes,Yes,Yes,2300
Maize,East,2023,11,2150,120,C6,660,2100,70,200,No,High,High,1180,230,Yes,No,Yes,2550
Barley,West,2023,3,2350,140,D6,500,1800,90,260,Yes,Low,Medium,970,190,No,Yes,Yes,2600
Cotton,Central,2023,1,3100,300,E6,400,1700,50,230,No,High,Low,1300,270,Yes,Yes,No,2850
Sugarcane,North,2023,4,2600,280,F6,610,2600,80,330,Yes,Low,High,1120,160,Yes,No,Yes,2780
Soybean,East,2023,2,2200,180,G6,710,2000,60,240,No,Medium,Low,980,220,No,Yes,Yes,2750
Rice,South,2023,5,1950,230,B7,500,2400,70,280,Yes,High,Medium,820,170,Yes,Yes,Yes,2200
Wheat,North,2023,1,1900,150,A7,570,2300,80,300,Yes,Medium,Low,1000,180,Yes,Yes,Yes,2150
Maize,East,2023,4,2200,130,C7,670,2100,70,210,No,High,High,1210,230,Yes,No,Yes,2650
Barley,West,2023,2,2400,150,D7,510,1850,90,270,Yes,Low,Low,950,180,No,Yes,Yes,2550
Cotton,Central,2023,9,3050,310,E7,410,1600,50,220,No,High,Low,1300,250,Yes,Yes,No,2800
Sugarcane,North,2023,11,2900,290,F7,620,2750,80,340,Yes,Low,High,1140,160,Yes,No,Yes,2850
Soybean,East,2023,8,2250,190,G7,720,1950,60,230,No,Medium,Low,970,210,No,Yes,Yes,2500
Rice,South,2023,6,1800,210,B8,510,2300,70,270,Yes,High,Medium,810,160,Yes,Yes,Yes,2150
Wheat,North,2023,12,2000,140,A8,580,2250,80,310,Yes,Medium,Low,1000,180,Yes,Yes,Yes,2250
Maize,East,2023,3,2100,120,C8,680,2000,70,200,No,High,High,1190,230,Yes,No,Yes,2550
Barley,West,2023,7,2450,130,D8,520,1900,90,280,Yes,Low,Medium,970,190,No,Yes,Yes,2700
Cotton,Central,2023,11,2950,300,E8,420,1750,50,240,No,High,Low,1250,260,Yes,Yes,No,2900
Sugarcane,North,2023,9,2800,270,F8,630,2650,80,350,Yes,Low,High,1130,170,Yes,No,Yes,2780
Soybean,East,2023,5,2300,180,G8,730,2050,60,240,No,Medium,Low,990,220,No,Yes,Yes,2600
Rice,South,2023,4,2000,220,B9,520,2400,70,260,Yes,High,Medium,840,170,Yes,Yes,Yes,2300
